model_name,explore_name
disney_plus,sm_daily_account_engagement_cohort
disney_plus,clopez_hours_streaming_by_device_type_and_device_platform
disney_plus,account_distribution_by_rfe
disney_plus,subscription_recovery
disney_plus,subscription_recovery_by_payment_method
disney_plus,involuntary_churn_commerce_dimensions
disney_plus,rep_disney_enter_risk_rate
disney_plus,disney_enter_risk_rate_pop
disney_plus,disney_risk_recovery_pop
disney_plus,dim_disney_account
disney_plus,dim_disney_season_engagement
disney_plus,dim_disney_episode_engagement
disney_plus,counts_for_calculating_reach_shares
disney_plus,dim_disney_content_segments
disney_plus,dim_disney_content_genres
disney_plus,dim_disney_content_metadata_emea_reporting
disney_plus,title_forecasts_emea_dev
disney_plus,title_forecasts_emea_with_counts_for_calculating_reach_shares
disney_plus,subs_forecast_iberia_dev
disney_plus,dim_disney_series_level_engagement
disney_plus,content_unit_rankings
disney_plus,content_availability
disney_plus,dim_disney_catalog_engagement
disney_plus,content_real_time_streams
disney_plus,dim_disney_country_region_mapping
disney_plus,dim_disney_country_region_mapping_map
disney_plus,dim_dates
disney_plus,over_under_indexed_titles_prod
disney_plus,over_under_indexed_titles_latam_star_prod
disney_plus,within_program_dropoff
disney_plus,transaction_datos_events
disney_plus,transaction_datos_events_test
disney_plus,payment_switches
disney_plus,sub_state_movements
disney_plus,daily_tdas
disney_plus,ineligible_subscription_tracking
disney_plus,double_billed_invoices
disney_plus,purchase_streaming_country_mismatch
disney_plus,purchase_streaming_country_mismatch_v2
disney_plus,pricing_arbitrage_commerce
disney_plus,purchase_streaming_country_mismatch_first8_d
disney_plus,fraudeng_rule_update
disney_plus,transaction_fraud_scores
disney_plus,hulu_fps_blocks
disney_plus,fraud_v2_events
disney_plus,accertify_misses
disney_plus,hulu_transactions_hawkeye
disney_plus,transaction_tax_settler_events
disney_plus,transaction_datos_events_purchase_attempts
disney_plus,transaction_datos_events_purchase_attempts_by_bank_issuer
disney_plus,flexible_routing_impact
disney_plus,dim_datos_comparisons_v
disney_plus,dim_disney_dss_sessions
disney_plus,customer_management_state_of_base
disney_plus,hg_emea_email_engagement_streaming
disney_plus,hg_emea_email_engagement_inclholdout
disney_plus,hg_emea_push_engagement_streaming
disney_plus,dtci_subscribers
disney_plus,dtci_growth_accounting
disney_plus,wer_bundle_incrementality
disney_plus,wer_bundle_acq_stats
disney_plus,fact_disney_account_watches_agg
disney_plus,glimpsev2_homepage_imps_clicks_plays
disney_plus,glimpsev2_homepage_set_imps_clicks_plays
disney_plus,glimpsev2_homepage_set_tile_imps_clicks_plays_position_index
disney_plus,glimpsev2_homepage_set_position_rank
disney_plus,dim_disney_content_prediction
disney_plus,dim_star_content_prediction
disney_plus,prelaunch_content_forecast_predictions
disney_plus,dim_content_segmentation
disney_plus,demo_segments_and_series_engagement
disney_plus,demo_segments
disney_plus,media_acquisition
disney_plus,media_acquisition_and_content_metadata
disney_plus,dim_disney_content_metadata
disney_plus,dim_disney_content_metadata_titles
disney_plus,content_leveling
disney_plus,filter_suggestions_program_title
disney_plus,filter_suggestions_glimpse
disney_plus,filter_suggestions_content_segments_genres
disney_plus,EMEA_Wholesale_Titles_Performance
disney_plus,emea_wholesale_first_streams
disney_plus,emea_wholesale_devices_viewing
disney_plus,emea_wholesale_weekly_engagement
disney_plus,HG_Num_Brands_Streamed_EMEA
disney_plus,retention_subscription_period_level
disney_plus,glimpsev2_user_navigation
disney_plus,glimpsev2_sessions_v
disney_plus,dim_disney_search_terms
disney_plus,ranked_search_terms
disney_plus,coming_soon_searches
disney_plus,audience_segment_and_rfe_aggregates_using_behavior_store
disney_plus,engagement_overview_v2
disney_plus,ec_sku_engagement
disney_plus,bundle_signups_by_engagement_segments
disney_plus,fact_disney_profile_metric_store
disney_plus,dim_disney_avatar_accounts
disney_plus,dim_disney_avatar_profiles
disney_plus,fact_error_recovery_v
disney_plus,fact_disney_conviva_agg_metric_store_v
disney_plus,fact_app_perf_life_cycle_events_v
disney_plus,group_watch
disney_plus,dim_disney_account_sharing
disney_plus,fraud_modeling_drivers_no_segmentation
disney_plus,cg_glimpse_dq
disney_plus,fact_disney_behavior_store_profiles
disney_plus,fact_disney_ratings_country_mapping
