id,model_name,name,trigger_value,trigger_error,stale_before,trigger_check_at,triggered_at,created_at
82,search_platform,search_features,,"SQL compilation error:
'DSS_PROD.DISNEY_PLUS.""search_features""' does not exist or not authorized.",,1721937679,,1678455710
83,search_platform,search_model_importance,,"SQL compilation error:
'DSS_PROD.DISNEY_PLUS.""search_features_importance""' does not exist or not authorized.",,1721937679,,1678455710
84,dss_international,dss_international_default_datagroup,,,,,,1680534182
85,dss_international_analytics,dss_international_default_datagroup,,,,,,1680537836
86,disney_plus,concurrent_streams_title_datagroup,2024-07-24T23:59:00+00:00,,1721921879,1721937481,,1681155758
87,dss_apac,kmrb_group,2023-09-13,"SQL compilation error:
'Y_JW_KMRB_OPERATION' does not exist or not authorized.",1694646624,1721937652,,1681374655
88,csm_vision,csm_vision_model_default_datagroup,,,,,,1681910989
89,quicksilver_vision,csm_vision_model_default_datagroup,,,,,,1681999227
90,subscriber_analytics,service_subscriber_datagroup,2024-07-24,,1721911441,1721938256,,1683046951
91,scm_cost,mysql_sf_bigdatadb_default_datagroup,,,,,,1683210194
92,dcyphr,_default_datagroup,,,,,,1683997951
93,quicksilver_vision,test_event,,"error parsing url : wrong failover parameter format in connection String jdbc:mysql:aurora://dynamicscaling-looker-proxy-nlb-ec35983eea8bbc69.elb.us-east-1.amazonaws.com:3306/vision_metrics?permitMysqlScheme&zeroDateTimeBehavior=convertToNull&tcpKeepAlive=true&useSSL=true&requireSSL=true&enabledSslProtocolSuites=TLSv1.2,TLSv1.3&trustServerCertificate=true&allowLocalInfile=false&usePipelineAuth=false",1718075022,1721938558,,1684521913
94,disney_plus,engagement_overview_v2_datagroup,2023-05-01,,1696445774,1721937480,,1684528668
95,data_store_services,mysql_sf_bigdatadb_default_datagroup,,,,,,1684787148
96,subscriber_analytics,unified_subscriber_datagroup_NPA,2024-07-23,,1721908999,1721938257,,1686234133
97,ballast_waf,ballast_waf_dev01_default_datagroup,,,,,,1686579854
98,nucleus,nucleus_scanner_data_group,2024-07-25T19:50:24.067871+00:00,,1721937501,1721938558,,1688564393
99,compute,compute_kpis_prod_default_datagroup,,,,,,1689793300
100,droid_jira,ballast_waf_dev01_default_datagroup_2,,,,,,1691158558
101,cost_data_mart,cost_attribution_default_datagroup,,,,,,1691510564
102,legacy_hulu_content360,content360_rolling100_load,20240724,,1721906555,1721937652,,1694810200
103,legacy_hulu_content360,content360_monthly_agg_load,2596636745,,1719834099,1721937653,,1694810200
104,legacy_hulu_content360,content360_weekly_agg_load,4311949698,,1721562013,1721937653,,1694810201
105,legacy_hulu_content360,content360_monthly_withHPS_agg_load,20240720,,1721558653,1721937654,,1694810201
106,legacy_hulu_content360,content360_monthly_reach_load,2596636745,,1719834099,1721937654,,1694810201
107,legacy_hulu_content360,content360_weekly_reach_load,4311949698,,1721562013,1721937654,,1694810202
108,legacy_hulu_content360,content360_100days_post_launch_load,20240724,,1721906557,1721937654,,1694810202
109,dss_international_analytics,unified_subscriber_datagroup,,"SQL compilation error:
'INTERNATIONAL_CW.PUBLISH.UNIFIED_SUBSCRIBER_METRIC_BI_AGG_VW' does not exist or not authorized.",,1698178959,,1696530301
110,dss_international_analytics_view,dss_international_default_datagroup,,,,,,1698180186
111,dss_international_analytics_view,unified_subscriber_datagroup,2024-07-24,,1721910212,1721937652,,1698180187
